Log for FI Active Run 6
initializing timeseries...
starting simulations...

2022-01-01 00:00:00 → first time step
2022-01-01 07:05:00 → ALERT STATE declared
2022-01-01 07:20:00 → ALERT STATE revoked
2022-01-01 21:51:00 → ALERT STATE declared
2022-01-01 22:02:00 → ALERT STATE revoked
2022-01-02 00:51:00 → ALERT STATE declared
2022-01-02 00:52:00 → ALERT STATE revoked
2022-01-02 03:07:00 → ALERT STATE declared
2022-01-02 03:16:00 → ALERT STATE revoked
2022-01-02 05:57:00 → ALERT STATE declared
2022-01-02 06:27:00 → ALERT STATE revoked
2022-01-03 06:10:00 → ALERT STATE declared
2022-01-03 06:11:00 → ALERT STATE revoked
2022-01-04 04:18:00 → ALERT STATE declared
2022-01-04 04:31:00 → ALERT STATE revoked
2022-01-04 13:15:00 → ALERT STATE declared
2022-01-04 13:17:00 → ALERT STATE revoked
2022-01-04 19:06:00 → ALERT STATE declared
2022-01-04 19:21:00 → ALERT STATE revoked
2022-01-04 19:57:00 → ALERT STATE declared
2022-01-04 19:58:00 → ALERT STATE revoked
2022-01-06 02:10:00 → ALERT STATE declared
2022-01-06 02:15:00 → ALERT STATE revoked
2022-01-06 05:11:00 → ALERT STATE declared
2022-01-06 05:14:00 → ALERT STATE revoked
2022-01-06 14:04:00 → ALERT STATE declared
2022-01-06 14:10:00 → ALERT STATE revoked
2022-01-07 07:14:00 → ALERT STATE declared
2022-01-07 07:16:00 → ALERT STATE revoked
2022-01-07 21:45:00 → ALERT STATE declared
2022-01-07 22:03:00 → ALERT STATE revoked
2022-01-07 22:58:00 → ALERT STATE declared
2022-01-07 23:00:00 → ALERT STATE revoked
2022-01-09 10:31:00 → ALERT STATE declared
2022-01-09 10:50:00 → ALERT STATE revoked
2022-01-09 11:06:00 → ALERT STATE declared
2022-01-09 11:19:00 → ALERT STATE revoked
2022-01-10 15:13:00 → ALERT STATE declared
2022-01-10 15:28:00 → ALERT STATE revoked
2022-01-10 20:39:00 → ALERT STATE declared
2022-01-10 20:57:00 → ALERT STATE revoked
2022-01-11 03:54:00 → ALERT STATE declared
2022-01-11 04:00:00 → ALERT STATE revoked
2022-01-14 05:15:00 → ALERT STATE declared
2022-01-14 05:18:00 → ALERT STATE revoked
2022-01-15 07:44:00 → ALERT STATE declared
2022-01-15 07:47:00 → ALERT STATE revoked
2022-01-15 20:01:00 → ALERT STATE declared
2022-01-15 20:06:00 → ALERT STATE revoked
2022-01-15 20:26:00 → ALERT STATE declared
2022-01-15 21:05:00 → ALERT STATE revoked
2022-01-15 21:28:00 → ALERT STATE declared
2022-01-15 21:57:00 → ALERT STATE revoked
2022-01-15 23:47:00 → ALERT STATE declared
2022-01-16 00:00:00 → ALERT STATE revoked
2022-01-16 02:52:00 → ALERT STATE declared
2022-01-16 02:59:00 → ALERT STATE revoked
2022-01-16 03:22:00 → ALERT STATE declared
2022-01-16 03:31:00 → ALERT STATE revoked
2022-01-16 07:53:00 → ALERT STATE declared
2022-01-16 08:09:00 → ALERT STATE revoked
2022-01-17 00:38:00 → ALERT STATE declared
2022-01-17 01:10:00 → ALERT STATE revoked
2022-01-17 05:35:00 → ALERT STATE declared
2022-01-17 05:38:00 → ALERT STATE revoked
2022-01-18 04:25:00 → ALERT STATE declared
2022-01-18 04:29:00 → ALERT STATE revoked
2022-01-18 05:06:00 → ALERT STATE declared
2022-01-18 05:38:00 → ALERT STATE revoked
2022-01-18 08:08:00 → ALERT STATE declared
2022-01-18 08:31:00 → ALERT STATE revoked
2022-01-18 23:44:00 → ALERT STATE declared
2022-01-18 23:46:00 → ALERT STATE revoked
2022-01-19 00:46:00 → ALERT STATE declared
2022-01-19 00:58:00 → ALERT STATE revoked
2022-01-19 08:06:00 → ALERT STATE declared
2022-01-19 08:21:00 → ALERT STATE revoked
2022-01-19 22:06:00 → ALERT STATE declared
2022-01-19 22:26:00 → ALERT STATE revoked
2022-01-21 05:15:00 → ALERT STATE declared
2022-01-21 05:27:00 → ALERT STATE revoked
2022-01-23 05:06:00 → ALERT STATE declared
2022-01-23 05:07:00 → ALERT STATE revoked
2022-01-23 23:49:00 → ALERT STATE declared
2022-01-24 00:00:00 → ALERT STATE revoked
2022-01-24 01:12:00 → ALERT STATE declared
2022-01-24 01:19:00 → ALERT STATE revoked
2022-01-24 03:15:00 → ALERT STATE declared
2022-01-24 03:22:00 → ALERT STATE revoked
